preprocess_time,degree,beam,search_time,QPS,recall
0.11766,72,10,0.004546,2197532.000000,0.653051
0.11766,72,20,0.009193,1086847.750000,0.781315
0.11766,72,30,0.013882,719689.875000,0.826856
0.11766,72,40,0.017603,567560.062500,0.850728
0.11766,72,50,0.022039,453342.437500,0.866894
0.11766,72,60,0.026444,377821.375000,0.878064
0.11766,72,70,0.029952,333567.062500,0.887223
0.11766,72,80,0.034389,290527.406250,0.89386
0.11766,72,90,0.038467,259732.078125,0.899456
0.11766,72,100,0.042565,234721.296875,0.90402
0.11766,72,110,0.046507,214828.578125,0.907923
0.11766,72,120,0.050461,197993.015625,0.911257
0.11766,72,130,0.053656,186206.265625,0.914229
0.11766,72,140,0.057665,173260.796875,0.916821
0.11766,72,150,0.061527,162383.890625,0.918913
0.11766,72,160,0.063336,157745.031250,0.920174
0.11766,72,170,0.067925,147088.921875,0.923016
0.11766,72,180,0.071843,139067.484375,0.924878
0.11766,72,190,0.073942,135119.625000,0.926249
0.11766,72,200,0.078984,126493.664062,0.928652
0.11766,72,210,0.082970,120417.601562,0.930654
0.11766,72,220,0.085587,116735.093750,0.931825
0.11766,72,230,0.090618,110254.203125,0.933686
0.11766,72,240,0.094248,106007.632812,0.934947
0.11766,72,250,0.097705,102256.507812,0.935978
0.11766,72,260,0.099673,100237.882812,0.937189
0.11766,72,270,0.103562,96473.445312,0.93823
0.11766,72,280,0.107392,93033.031250,0.939571
0.11766,72,290,0.110999,90010.203125,0.940833
0.11766,72,300,0.114780,87044.664062,0.941833
0.11766,72,310,0.118756,84130.148438,0.943005
0.11766,72,320,0.120004,83255.820312,0.943425
0.11766,72,330,0.125979,79307.109375,0.944927
0.11766,72,340,0.130033,76834.554688,0.945707
0.11766,72,350,0.131822,75791.851562,0.946088
0.11766,72,360,0.138234,72276.132812,0.947328
0.11766,72,370,0.142127,70296.226562,0.948079
0.11766,72,380,0.144623,69083.257812,0.94865
0.11766,72,390,0.150197,66519.296875,0.9496
0.11766,72,400,0.154081,64842.398438,0.950171
0.11766,72,410,0.157361,63490.894531,0.950711
0.11766,72,420,0.157367,63488.417969,0.951512
0.11766,72,430,0.161195,61980.828125,0.952233
0.11766,72,440,0.164991,60554.765625,0.952904
0.11766,72,450,0.168738,59210.300781,0.953704
0.11766,72,460,0.172663,57864.277344,0.954175
0.11766,72,470,0.176701,56541.761719,0.954906
0.11766,72,480,0.177586,56260.031250,0.955106
0.11766,72,490,0.183992,54301.242188,0.956027
0.11766,72,500,0.187896,53173.082031,0.956507
