preprocess_time,degree,beam,search_time,QPS,recall
0.056194,72,10,0.004442,2249155.250000,0.641961
0.056194,72,20,0.009065,1102109.250000,0.775309
0.056194,72,30,0.013604,734411.187500,0.822691
0.056194,72,40,0.017282,578114.437500,0.847846
0.056194,72,50,0.021635,461803.312500,0.864411
0.056194,72,60,0.025996,384329.312500,0.876572
0.056194,72,70,0.029512,338543.906250,0.88457
0.056194,72,80,0.033775,295811.281250,0.890976
0.056194,72,90,0.037881,263748.406250,0.896231
0.056194,72,100,0.041987,237954.187500,0.901205
0.056194,72,110,0.045849,217912.984375,0.905178
0.056194,72,120,0.049690,201064.609375,0.908051
0.056194,72,130,0.052936,188736.187500,0.911554
0.056194,72,140,0.056840,175773.500000,0.914147
0.056194,72,150,0.060775,164392.359375,0.916819
0.056194,72,160,0.062490,159882.593750,0.918581
0.056194,72,170,0.066989,149143.125000,0.921433
0.056194,72,180,0.070923,140870.296875,0.923245
0.056194,72,190,0.073239,136416.015625,0.924656
0.056194,72,200,0.077940,128188.828125,0.926828
0.056194,72,210,0.081917,121965.210938,0.928149
0.056194,72,220,0.084780,117846.593750,0.929241
0.056194,72,230,0.089249,111945.523438,0.931183
0.056194,72,240,0.093185,107217.125000,0.932354
0.056194,72,250,0.096553,103476.890625,0.933385
0.056194,72,260,0.098498,101433.617188,0.934846
0.056194,72,270,0.102334,97630.843750,0.935918
0.056194,72,280,0.106121,94147.062500,0.937029
0.056194,72,290,0.109601,91158.117188,0.93824
0.056194,72,300,0.113582,87962.890625,0.939321
0.056194,72,310,0.117440,85073.046875,0.940372
0.056194,72,320,0.118631,84219.289062,0.940862
0.056194,72,330,0.124554,80214.046875,0.942124
0.056194,72,340,0.128562,77713.367188,0.943195
0.056194,72,350,0.130398,76619.148438,0.943696
0.056194,72,360,0.136779,73044.789062,0.944917
0.056194,72,370,0.140767,70975.328125,0.945668
0.056194,72,380,0.143185,69776.945312,0.946328
0.056194,72,390,0.148561,67251.882812,0.94744
0.056194,72,400,0.152499,65515.093750,0.948191
0.056194,72,410,0.155755,64145.816406,0.948761
0.056194,72,420,0.155454,64269.621094,0.949552
0.056194,72,430,0.159572,62611.250000,0.950272
0.056194,72,440,0.163153,61237.097656,0.950883
0.056194,72,450,0.166815,59892.781250,0.951724
0.056194,72,460,0.170815,58490.007812,0.952514
0.056194,72,470,0.174573,57231.222656,0.953125
0.056194,72,480,0.175787,56835.828125,0.953275
0.056194,72,490,0.181870,54934.714844,0.954136
0.056194,72,500,0.185596,53832.007812,0.954727
