preprocess_time,degree,beam,search_time,QPS,recall
0.277621,96,10,0.002977,335934.812500,0.5695
0.277621,96,20,0.005990,166933.765625,0.758601
0.277621,96,30,0.008941,111842.015625,0.836701
0.277621,96,40,0.011565,86465.453125,0.875101
0.277621,96,50,0.014422,69338.429688,0.898601
0.277621,96,60,0.017230,58038.898438,0.915101
0.277621,96,70,0.019808,50483.996094,0.927501
0.277621,96,80,0.022653,44144.402344,0.937401
0.277621,96,90,0.025277,39560.968750,0.943501
0.277621,96,100,0.027995,35720.207031,0.951501
0.277621,96,110,0.030463,32826.734375,0.955401
0.277621,96,120,0.032788,30499.318359,0.958001
0.277621,96,130,0.034771,28759.644531,0.961201
0.277621,96,140,0.037422,26722.191406,0.963301
0.277621,96,150,0.039814,25116.701172,0.966001
0.277621,96,160,0.040300,24814.191406,0.966301
0.277621,96,170,0.043759,22852.656250,0.969401
0.277621,96,180,0.046165,21661.435547,0.970701
0.277621,96,190,0.046884,21329.339844,0.9712
0.277621,96,200,0.050501,19801.742188,0.9731
0.277621,96,210,0.053027,18858.337891,0.9741
0.277621,96,220,0.054188,18454.259766,0.9745
0.277621,96,230,0.057649,17346.318359,0.9765
0.277621,96,240,0.059930,16686.246094,0.9776
0.277621,96,250,0.061914,16151.406250,0.9779
0.277621,96,260,0.064233,15568.207031,0.979001
0.277621,96,270,0.066521,15032.827148,0.979501
0.277621,96,280,0.069098,14472.095703,0.980901
0.277621,96,290,0.070835,14117.276367,0.982001
0.277621,96,300,0.073299,13642.815430,0.9824
0.277621,96,310,0.075673,13214.686523,0.982801
0.277621,96,320,0.076004,13157.157227,0.982901
0.277621,96,330,0.080217,12466.171875,0.984
0.277621,96,340,0.082726,12088.100586,0.9846
0.277621,96,350,0.083109,12032.457031,0.9849
0.277621,96,360,0.086465,11565.396484,0.9856
0.277621,96,370,0.088846,11255.388672,0.9859
0.277621,96,380,0.090065,11103.108398,0.9863
0.277621,96,390,0.092797,10776.218750,0.9871
0.277621,96,400,0.095290,10494.321289,0.9873
0.277621,96,410,0.096844,10325.909180,0.9879
0.277621,96,420,0.097055,10303.480469,0.9881
0.277621,96,430,0.099451,10055.214844,0.9886
0.277621,96,440,0.101574,9845.075195,0.9889
0.277621,96,450,0.103605,9652.020508,0.9892
0.277621,96,460,0.105881,9444.603516,0.9893
0.277621,96,470,0.108168,9244.862305,0.9894
0.277621,96,480,0.108813,9190.048828,0.9894
0.277621,96,490,0.112068,8923.130859,0.9898
0.277621,96,500,0.114574,8727.958008,0.9899
