preprocess_time,degree,beam,search_time,QPS,recall
0.735021,56,10,0.001743,5737945.500000,0.736059
0.735021,56,20,0.003625,2758651.250000,0.905682
0.735021,56,30,0.005564,1797133.875000,0.950296
0.735021,56,40,0.007257,1377963.125000,0.969738
0.735021,56,50,0.009155,1092244.875000,0.979349
0.735021,56,60,0.011070,903314.937500,0.984919
0.735021,56,70,0.012726,785776.125000,0.988439
0.735021,56,80,0.014595,685146.250000,0.9909
0.735021,56,90,0.016403,609635.937500,0.99258
0.735021,56,100,0.017982,556106.250000,0.9937
0.735021,56,110,0.019720,507094.468750,0.99451
0.735021,56,120,0.021417,466919.656250,0.99522
0.735021,56,130,0.022712,440289.687500,0.99578
0.735021,56,140,0.024490,408330.187500,0.99622
0.735021,56,150,0.026217,381428.750000,0.99655
0.735021,56,160,0.026593,376034.843750,0.99664
0.735021,56,170,0.029180,342701.593750,0.99702
0.735021,56,180,0.030896,323668.531250,0.99723
0.735021,56,190,0.031802,314445.781250,0.99736
0.735021,56,200,0.033287,300413.781250,0.99767
