preprocess_time,degree,beam,search_time,QPS,recall
0.080001,56,10,0.001779,5619796.500000,0.74825
0.080001,56,20,0.003660,2732527.250000,0.906943
0.080001,56,30,0.005587,1789887.250000,0.951016
0.080001,56,40,0.007286,1372558.500000,0.969958
0.080001,56,50,0.009188,1088334.500000,0.97949
0.080001,56,60,0.011011,908182.062500,0.984969
0.080001,56,70,0.012719,786218.875000,0.988229
0.080001,56,80,0.014606,684634.437500,0.990689
0.080001,56,90,0.016347,611741.125000,0.99205
0.080001,56,100,0.018066,553520.562500,0.99352
0.080001,56,110,0.019760,506072.875000,0.99432
0.080001,56,120,0.021358,468201.281250,0.995
0.080001,56,130,0.022812,438373.125000,0.99557
0.080001,56,140,0.024491,408313.125000,0.99603
0.080001,56,150,0.026206,381593.156250,0.99638
0.080001,56,160,0.026602,375918.625000,0.99647
0.080001,56,170,0.029275,341586.812500,0.99687
0.080001,56,180,0.030982,322764.218750,0.99707
0.080001,56,190,0.031661,315845.437500,0.99715
0.080001,56,200,0.033377,299611.031250,0.99748
