preprocess_time,degree,beam,search_time,QPS,recall
0.115071,96,10,0.002962,337560.500000,0.5693
0.115071,96,20,0.006010,166394.234375,0.7499
0.115071,96,30,0.008920,112109.226562,0.827201
0.115071,96,40,0.011600,86208.320312,0.867201
0.115071,96,50,0.014509,68923.531250,0.895001
0.115071,96,60,0.017247,57982.679688,0.911601
0.115071,96,70,0.019819,50457.347656,0.926802
0.115071,96,80,0.022722,44010.675781,0.936201
0.115071,96,90,0.025214,39660.582031,0.943001
0.115071,96,100,0.027972,35749.546875,0.949901
0.115071,96,110,0.030506,32780.109375,0.955801
0.115071,96,120,0.032924,30373.302734,0.959601
0.115071,96,130,0.034971,28595.429688,0.963601
0.115071,96,140,0.037376,26755.320312,0.965601
0.115071,96,150,0.039815,25116.134766,0.968601
0.115071,96,160,0.040258,24840.068359,0.969101
0.115071,96,170,0.043783,22840.029297,0.972301
0.115071,96,180,0.046209,21640.794922,0.973401
0.115071,96,190,0.046956,21296.343750,0.974001
0.115071,96,200,0.050533,19789.240234,0.977201
0.115071,96,210,0.053022,18860.205078,0.978001
0.115071,96,220,0.054293,18418.669922,0.979101
0.115071,96,230,0.057412,17418.087891,0.980301
0.115071,96,240,0.059811,16719.382812,0.981601
0.115071,96,250,0.061728,16200.162109,0.982001
0.115071,96,260,0.064305,15550.852539,0.982401
0.115071,96,270,0.066664,15000.513672,0.982801
0.115071,96,280,0.068674,14561.650391,0.983101
0.115071,96,290,0.070764,14131.575195,0.983601
0.115071,96,300,0.073256,13650.777344,0.984501
0.115071,96,310,0.075754,13200.541992,0.985101
0.115071,96,320,0.075947,13167.075195,0.985101
0.115071,96,330,0.079839,12525.175781,0.986101
0.115071,96,340,0.082264,12155.976562,0.986701
0.115071,96,350,0.083441,11984.577148,0.986701
0.115071,96,360,0.086451,11567.257812,0.986901
0.115071,96,370,0.089021,11233.249023,0.987601
0.115071,96,380,0.090059,11103.823242,0.987601
0.115071,96,390,0.093236,10725.489258,0.987901
0.115071,96,400,0.095177,10506.772461,0.988001
0.115071,96,410,0.096978,10311.656250,0.988801
0.115071,96,420,0.097004,10308.904297,0.988901
0.115071,96,430,0.099506,10049.626953,0.988901
0.115071,96,440,0.101496,9852.623047,0.989301
0.115071,96,450,0.103890,9625.551758,0.989701
0.115071,96,460,0.105730,9458.048828,0.989801
0.115071,96,470,0.108081,9252.306641,0.990001
0.115071,96,480,0.108308,9232.942383,0.990001
0.115071,96,490,0.111916,8935.288086,0.990501
0.115071,96,500,0.114206,8756.079102,0.990601
