preprocess_time,degree,beam,search_time,QPS,recall
0.133757,128,10,0.007927,1261438.750000,0.485869
0.133757,128,20,0.016183,617921.062500,0.682975
0.133757,128,30,0.024321,411161.500000,0.754924
0.133757,128,40,0.031919,313292.000000,0.794603
0.133757,128,50,0.039979,250131.281250,0.820393
0.133757,128,60,0.047969,208466.750000,0.839192
0.133757,128,70,0.056342,177486.218750,0.852652
0.133757,128,80,0.064424,155221.750000,0.863753
0.133757,128,90,0.072443,138040.468750,0.872124
0.133757,128,100,0.079837,125255.171875,0.879674
0.133757,128,110,0.087154,114739.664062,0.885445
0.133757,128,120,0.094411,105920.132812,0.890634
0.133757,128,130,0.104664,95543.773438,0.895435
0.133757,128,140,0.112097,89208.335938,0.899585
0.133757,128,150,0.119458,83711.531250,0.903255
0.133757,128,160,0.123466,80994.132812,0.905145
0.133757,128,170,0.133816,74729.304688,0.909645
0.133757,128,180,0.141357,70743.015625,0.912735
0.133757,128,190,0.146060,68464.882812,0.914655
0.133757,128,200,0.154961,64532.414062,0.917835
0.133757,128,210,0.162373,61586.648438,0.920106
0.133757,128,220,0.168688,59281.078125,0.921807
0.133757,128,230,0.176573,56633.660156,0.923907
0.133757,128,240,0.183925,54370.066406,0.925907
0.133757,128,250,0.190466,52502.796875,0.927627
0.133757,128,260,0.196087,50997.828125,0.929577
0.133757,128,270,0.203202,49212.226562,0.931218
0.133757,128,280,0.210475,47511.515625,0.932767
0.133757,128,290,0.217392,45999.824219,0.934328
0.133757,128,300,0.224717,44500.316406,0.935827
0.133757,128,310,0.232091,43086.617188,0.937177
0.133757,128,320,0.235179,42520.800781,0.937846
0.133757,128,330,0.246169,40622.437500,0.939796
0.133757,128,340,0.253363,39469.007812,0.941016
0.133757,128,350,0.257623,38816.378906,0.941606
0.133757,128,360,0.267420,37394.312500,0.943166
0.133757,128,370,0.274893,36377.730469,0.944156
0.133757,128,380,0.280297,35676.382812,0.944766
0.133757,128,390,0.283637,35256.363281,0.945886
0.133757,128,400,0.290870,34379.585938,0.946966
0.133757,128,410,0.297437,33620.542969,0.947776
0.133757,128,420,0.303977,32897.171875,0.948856
0.133757,128,430,0.311385,32114.566406,0.949846
0.133757,128,440,0.318152,31431.509766,0.950626
0.133757,128,450,0.324662,30801.238281,0.951516
0.133757,128,460,0.331916,30128.148438,0.952327
0.133757,128,470,0.339009,29497.785156,0.953077
0.133757,128,480,0.341608,29273.310547,0.953377
0.133757,128,490,0.352335,28382.091797,0.954427
0.133757,128,500,0.359610,27807.873047,0.955097
