pre_time,knn_time,degree,index_time,refine_time,beam,search_time,QPS,recall
0.0737917,1.59267,56,0.575226,0.912132,15,0.002098,4765971.500000,0.842478
0.0737917,1.59267,56,0.575226,0.912132,20,0.002851,3507767.500000,0.897652
0.0737917,1.59267,56,0.575226,0.912132,25,0.003510,2848782.000000,0.921885
0.0737917,1.59267,56,0.575226,0.912132,30,0.004299,2326273.750000,0.940236
0.0737917,1.59267,56,0.575226,0.912132,35,0.004851,2061563.250000,0.950237
0.0737917,1.59267,56,0.575226,0.912132,40,0.005637,1773955.500000,0.958828
0.0737917,1.59267,56,0.575226,0.912132,45,0.006277,1593087.250000,0.964348
0.0737917,1.59267,56,0.575226,0.912132,50,0.007048,1418803.625000,0.969068
0.0737917,1.59267,56,0.575226,0.912132,55,0.007725,1294489.000000,0.972478
