pre_time,knn_time,degree,index_time,refine_time,beam,search_time,QPS,recall
0.0756491,1.44024,56,0.535382,0.760213,20,0.003314,3017516.000000,0.886129
0.0756491,1.44024,56,0.535382,0.760213,25,0.004102,2437749.750000,0.914982
0.0756491,1.44024,56,0.535382,0.760213,30,0.005058,1977247.375000,0.937344
0.0756491,1.44024,56,0.535382,0.760213,35,0.005676,1761794.125000,0.949326
0.0756491,1.44024,56,0.535382,0.760213,40,0.006585,1518590.000000,0.959257
0.0756491,1.44024,56,0.535382,0.760213,45,0.007340,1362391.875000,0.965528
0.0756491,1.44024,56,0.535382,0.760213,50,0.008297,1205200.375000,0.971309
