degree,build_time,tau,search_time,QPS,recall
64,17.665354,0.05,0.015240,655567.788811,0.839676
64,17.665354,0.06,0.017684,564978.046750,0.864518
64,17.665354,0.07,0.021310,468848.301797,0.881834
64,17.665354,0.08,0.024708,404356.146240,0.895296
64,17.665354,0.09,0.030162,331239.875882,0.906756
64,17.665354,0.1,0.039440,253323.950835,0.916265
64,17.665354,0.11,0.052968,188621.956442,0.924782
64,17.665354,0.12,0.061355,162838.170365,0.932409
