pre_time,knn_time,degree,index_time,beam,search_time,QPS,recall
6.06727,502.483,64,267.695,20,0.014498,689742.000000,0.823986
6.06727,502.483,64,267.695,30,0.017384,575255.312500,0.8988
6.06727,502.483,64,267.695,40,0.023077,433327.218750,0.932052
6.06727,502.483,64,267.695,50,0.028895,346079.406250,0.950554
6.06727,502.483,64,267.695,60,0.034903,286507.718750,0.961725
6.06727,502.483,64,267.695,70,0.050959,196236.031250,0.969596
6.06727,502.483,64,267.695,80,0.058461,171053.484375,0.974697
6.06727,502.483,64,267.695,90,0.065354,153013.828125,0.978498
