degree,build_time,tau,search_time,QPS,recall
56,20.911123,0.1,0.002599,3847053.681721,0.855950
56,20.911123,0.15,0.002802,3568655.298841,0.873570
56,20.911123,0.2,0.003789,2638956.914077,0.894890
56,20.911123,0.25,0.004195,2383967.502751,0.918780
56,20.911123,0.3,0.004889,2045451.612485,0.942820
56,20.911123,0.32,0.005220,1915814.540960,0.951380
56,20.911123,0.34,0.006003,1665920.376235,0.960230
