recall,degree,build_time,itopk_size,search_time,QPS
0.829857,32,7.889897,20,0.002405,4157354.250000
0.873729,32,7.889897,25,0.002975,3361769.750000
0.907781,32,7.889897,30,0.003684,2714181.500000
0.927053,32,7.889897,35,0.004193,2384968.250000
0.943536,32,7.889897,40,0.004882,2048213.250000
0.953326,32,7.889897,45,0.005452,1834221.750000
0.962577,32,7.889897,50,0.006156,1624439.875000
0.968668,32,7.889897,55,0.006745,1482560.375000
0.974149,32,7.889897,60,0.007435,1344942.125000
0.977939,32,7.889897,65,0.007992,1251216.250000
