degree,build_time,tau,search_time,QPS,recall
64,81.931206,0.1,0.054610,183115.836507,0.837450
64,81.931206,0.11,0.067288,148614.620773,0.855320
64,81.931206,0.12,0.088205,113372.427295,0.872670
64,81.931206,0.13,0.111769,89470.021469,0.888430
64,81.931206,0.14,0.139712,71575.764298,0.903780
64,81.931206,0.15,0.165969,60252.345872,0.917730
64,81.931206,0.16,0.212484,47062.359980,0.930560
