pre_time,knn_time,degree,index_time,refine_time,beam,search_time,QPS,recall
0.00776896,1.68409,32,1.08441,0,30,0.002573,3886380.750000,0.415611
0.00776896,1.68409,48,1.08369,0,30,0.003504,2853907.250000,0.452321
0.00776896,1.68409,64,1.08412,0,30,0.004433,2256040.750000,0.491261
0.00776896,1.68409,80,1.08909,0,30,0.004468,2237945.750000,0.452161
0.00776896,1.68409,96,1.09749,0,30,0.004962,2015296.875000,0.501311
0.00776896,1.68409,112,1.10479,0,30,0.004714,2121117.500000,0.495412
0.00776896,1.68409,128,1.10055,0,30,0.004853,2060706.625000,0.481751
