pre_time,knn_time,degree,index_time,refine_time,beam,search_time,QPS,recall
0.0470356,1.89729,32,1.1083,0,30,0.003303,3027162.250000,0.873011
0.0470356,1.89729,48,1.11484,0,30,0.004512,2216437.750000,0.908213
0.0470356,1.89729,64,1.11979,0,30,0.005148,1942634.750000,0.920314
0.0470356,1.89729,80,1.12436,0,30,0.005476,1826033.000000,0.923793
0.0470356,1.89729,96,1.12936,0,30,0.005704,1753254.000000,0.924813
0.0470356,1.89729,112,1.136,0,30,0.005851,1709004.375000,0.926774
0.0470356,1.89729,128,1.14316,0,30,0.005862,1705786.000000,0.926283
