pre_time,knn_time,degree,index_time,refine_time,beam,search_time,QPS,recall
0.0670681,1.38196,32,1.10697,0,30,0.003222,3104140.250000,0.805958
0.0670681,1.38196,48,1.102,0,30,0.004426,2259597.000000,0.843697
0.0670681,1.38196,64,1.10581,0,30,0.005081,1968194.000000,0.854398
0.0670681,1.38196,80,1.11602,0,30,0.005492,1820915.125000,0.860299
0.0670681,1.38196,96,1.11639,0,30,0.005748,1739880.875000,0.864709
0.0670681,1.38196,112,1.1213,0,30,0.005827,1716278.625000,0.865829
0.0670681,1.38196,128,1.12359,0,30,0.005882,1700143.625000,0.864588
