pre_time,knn_time,degree,index_time,refine_time,beam,search_time,QPS,recall
0.00754157,1.88387,32,1.08127,0,30,0.002849,3510289.500000,0.364271
0.00754157,1.88387,48,1.086,0,30,0.002979,3357038.500000,0.316471
0.00754157,1.88387,64,1.08285,0,30,0.003485,2869763.250000,0.333331
0.00754157,1.88387,80,1.09105,0,30,0.003357,2978942.500000,0.323232
0.00754157,1.88387,96,1.09456,0,30,0.004116,2429260.000000,0.370083
0.00754157,1.88387,112,1.09974,0,30,0.003713,2693408.250000,0.334153
0.00754157,1.88387,128,1.11105,0,30,0.003749,2667474.750000,0.319402
