search_time,QPS,recall
0.003728,2682725.810093,0.669490
0.003561,2808181.131481,0.691700
0.003576,2796420.590849,0.692120
0.003562,2807172.020301,0.693100
0.003587,2787590.174523,0.694370
0.003614,2767102.868912,0.696170
0.003622,2760991.043264,0.698170
0.003633,2752455.116376,0.700470
0.003654,2736642.911958,0.703480
0.003698,2703988.899396,0.706820
0.003710,2695429.405570,0.710080
0.003762,2658013.644780,0.713720
0.003850,2597283.865030,0.717560
0.003914,2555192.151913,0.722160
0.003959,2525824.054755,0.726580
0.004031,2480729.463620,0.731740
0.004065,2460087.452622,0.737300
0.004172,2397189.264975,0.742840
0.004254,2350719.832564,0.749400
0.004299,2326239.321424,0.755380
0.004376,2285141.971445,0.761480
0.004581,2183101.161764,0.768650
0.004670,2141540.444957,0.774980
0.004770,2096274.389814,0.782400
0.005040,1984089.328401,0.789910
0.005163,1936711.351605,0.797760
0.005231,1911595.446176,0.804830
0.005355,1867388.451930,0.812900
0.005496,1819494.477464,0.821450
0.005746,1740394.427032,0.829280
0.005904,1693831.124974,0.837310
0.006122,1633380.549990,0.846460
0.006952,1438401.870104,0.855600
0.007250,1379252.447830,0.864190
0.007467,1339144.202079,0.872640
0.007722,1295068.359023,0.881170
0.008028,1245689.879039,0.889190
0.008477,1179614.852131,0.897740
0.009493,1053380.298838,0.905770
0.010459,956128.206482,0.913390
0.011492,870199.611331,0.920970
0.012420,805163.330734,0.928960
0.013137,761235.207554,0.936270
0.013790,725172.454921,0.942930
0.014465,691328.847500,0.949290
0.015730,635728.544242,0.955230
0.017593,568422.631201,0.960430
0.018535,539509.328420,0.965330
0.019400,515452.024745,0.969700
0.020574,486061.318387,0.973760
0.022119,452093.292724,0.977380
0.023430,426798.305847,0.980500
0.024717,404577.902685,0.983000
0.026134,382645.874806,0.985520
0.027545,363047.481123,0.987470
0.029110,343526.260003,0.989310
0.030941,323191.496611,0.990890
0.032631,306457.272724,0.992150
0.034507,289799.942458,0.993040
0.036119,276862.028706,0.993870
0.038037,262901.742385,0.994580
0.039933,250417.491758,0.995400
0.041824,239099.905976,0.995830
0.043636,229169.409037,0.996140
0.045543,219574.830363,0.996440
0.047393,211003.077062,0.996680
0.049065,203812.642566,0.996820
0.050771,196961.930395,0.997000
0.052356,191001.119244,0.997110
0.053742,186075.486898,0.997220
0.054989,181855.960785,0.997290
0.063100,158479.646498,0.997570
0.068545,145889.437369,0.997580
0.072400,138121.909519,0.997590
0.073585,135897.461392,0.997590
0.074763,133755.242498,0.997590
0.074448,134321.894629,0.997590
0.074795,133698.589746,0.997590
0.074771,133741.741143,0.997590
0.075006,133322.242494,0.997590
0.074822,133650.555139,0.997590
0.074907,133499.646750,0.997590
0.074931,133456.160421,0.997590
0.075182,133009.970863,0.997590
