recall,nlist,pq_m,build_time,nproble,search_time,QPS
0.377471,1024,32,1.226022,1,0.155935,64129.398438
0.541008,1024,32,1.226022,2,0.085054,117571.726562
0.639475,1024,32,1.226022,3,0.085974,116314.257812
0.705995,1024,32,1.226022,4,0.084042,118988.515625
0.754163,1024,32,1.226022,5,0.084115,118884.218750
0.790931,1024,32,1.226022,6,0.083503,119755.664062
0.842148,1024,32,1.226022,8,0.085623,116791.031250
0.860709,1024,32,1.226022,9,0.083907,119180.187500
0.876839,1024,32,1.226022,10,0.084527,118305.421875
0.927602,1024,32,1.226022,15,0.089325,111950.906250
0.952026,1024,32,1.226022,20,0.088786,112630.585938
0.966488,1024,32,1.226022,25,0.092761,107803.828125
0.976328,1024,32,1.226022,30,0.096264,103880.789062
0.982419,1024,32,1.226022,35,0.099843,100157.078125
0.986559,1024,32,1.226022,40,0.099963,100037.039062
0.989330,1024,32,1.226022,45,0.104400,95785.554688
0.991700,1024,32,1.226022,50,0.105087,95159.273438
0.994191,1024,32,1.226022,60,0.109817,91060.718750
0.995941,1024,32,1.226022,70,0.115762,86384.000000
0.996891,1024,32,1.226022,80,0.118867,84127.679688
0.997421,1024,32,1.226022,90,0.125969,79384.351562
0.997880,1024,32,1.226022,100,0.131849,75844.210938
0.998380,1024,32,1.226022,120,0.138680,72108.289062
0.998700,1024,32,1.226022,140,0.149219,67015.445312
0.998810,1024,32,1.226022,160,0.159548,62676.898438
0.998760,1024,32,1.226022,180,0.167619,59659.265625
0.998910,1024,32,1.226022,200,0.177325,56393.609375
