search_time,QPS,recall
0.020027,499325.709961,0.787160
0.020982,476605.895679,0.805600
0.020946,477412.654036,0.806090
0.020958,477156.051842,0.807090
0.021002,476137.512931,0.808400
0.021216,471335.987998,0.810080
0.021263,470301.761157,0.811900
0.021284,469832.256355,0.813790
0.021454,466107.631257,0.816490
0.021595,463063.129322,0.819490
0.021719,460424.154430,0.822700
0.022178,450889.800371,0.826260
0.022490,444638.580775,0.829700
0.022896,436748.350721,0.833480
0.023327,428681.758422,0.837250
0.023637,423059.948632,0.841690
0.024139,414263.390631,0.846410
0.024515,407906.472516,0.851130
0.025298,395281.417180,0.855970
0.026216,381449.238560,0.860980
0.026625,375584.258972,0.865900
0.027229,367249.562942,0.871180
0.028518,350657.095661,0.876430
0.029130,343284.746023,0.882260
0.030424,328687.869221,0.888290
0.031974,312750.824867,0.894260
0.034063,293573.056276,0.899450
0.035550,281293.573353,0.905050
0.037020,270121.452813,0.911010
0.039475,253327.503984,0.916640
0.041416,241452.762003,0.922330
0.043106,231987.730300,0.927660
0.046018,217307.708510,0.933310
0.049154,203443.232878,0.938580
0.052097,191948.601467,0.943810
0.057046,175296.786188,0.948790
0.060476,165354.676248,0.953540
0.064349,155401.581885,0.958020
0.068974,144982.403956,0.962310
0.072926,137125.213178,0.966780
0.076760,130276.294040,0.970700
0.080609,124056.033334,0.974310
0.083815,119310.467473,0.977390
0.088825,112581.008150,0.980370
0.093782,106629.888981,0.983160
0.097933,102110.336115,0.985500
0.102404,97652.133047,0.987490
0.110366,90607.653198,0.989360
0.116562,85791.475836,0.991150
0.124042,80617.637692,0.992470
0.131552,76015.513463,0.993780
0.137732,72604.970473,0.994750
0.144020,69434.584802,0.995560
0.149339,66961.625795,0.996400
0.155906,64141.378124,0.996940
0.162865,61400.392298,0.997380
0.170944,58498.624011,0.997760
0.179260,55785.011879,0.998020
0.187265,53400.355521,0.998390
0.196159,50978.976636,0.998590
0.205306,48707.741138,0.998810
0.213979,46733.563815,0.998960
0.224320,44579.224195,0.999070
0.233282,42866.665050,0.999130
0.242801,41185.938559,0.999170
0.253703,39416.146812,0.999180
0.263810,37906.112432,0.999210
0.272291,36725.392777,0.999260
0.282578,35388.469440,0.999270
0.291794,34270.694413,0.999280
0.300475,33280.584801,0.999290
0.357274,27989.703746,0.999330
0.411865,24279.819751,0.999350
0.461156,21684.643604,0.999350
0.490937,20369.210270,0.999350
0.510499,19588.671660,0.999350
0.522757,19129.357706,0.999350
0.531273,18822.702181,0.999350
0.536824,18628.092792,0.999350
0.538460,18571.473130,0.999350
0.540656,18496.036029,0.999350
0.540994,18484.499598,0.999350
0.542229,18442.381912,0.999350
0.542291,18440.271373,0.999350
