search_time,QPS,recall
0.601791,16617.077844,0.763700
0.917974,10893.549450,0.880800
1.531271,6530.521997,0.952580
2.480695,4031.128862,0.981500
3.692092,2708.491768,0.992110
5.061722,1975.612058,0.995880
6.646529,1504.544662,0.997770
8.393901,1191.341210,0.998480
10.733024,931.703890,0.998830
12.983273,770.221780,0.999070
15.520218,644.320852,0.999210
18.452698,541.926176,0.999240
21.104132,473.840856,0.999220
24.218074,412.914743,0.999270
27.548235,362.999664,0.999180
31.680217,315.654399,0.999190
35.699287,280.117636,0.999180
39.642622,252.253749,0.999260
43.582192,229.451513,0.999220
48.611362,205.713225,0.999310
