recall,degree,build_time,itopk_size,search_time,QPS
0.831076,32,7.793472,20,0.002410,4148524.000000
0.908262,32,7.793472,30,0.003677,2719566.750000
0.943085,32,7.793472,40,0.004878,2049879.250000
0.962937,32,7.793472,50,0.006157,1624085.250000
0.974709,32,7.793472,60,0.007436,1344728.000000
0.982059,32,7.793472,70,0.008673,1152966.375000
0.986589,32,7.793472,80,0.009882,1011985.125000
0.989419,32,7.793472,90,0.011092,901553.250000
0.991680,32,7.793472,100,0.012214,818714.437500
0.993160,32,7.793472,110,0.013374,747693.562500
0.994340,32,7.793472,120,0.014505,689419.375000
0.995360,32,7.793472,130,0.015636,639568.062500
0.996020,32,7.793472,140,0.016688,599228.437500
0.996460,32,7.793472,150,0.017850,560217.500000
0.996570,32,7.793472,160,0.018098,552541.875000
0.997190,32,7.793472,170,0.019859,503537.687500
0.997450,32,7.793472,180,0.020982,476604.437500
0.997521,32,7.793472,190,0.021475,465650.625000
0.997881,32,7.793472,200,0.023347,428313.937500
