degree,beam,search_time,QPS,recall
64,10,0.005900,1694970.250000,0.50086
64,20,0.010682,936183.687500,0.802087
64,30,0.015571,642231.062500,0.886219
64,40,0.020676,483643.562500,0.924192
64,50,0.025786,387814.812500,0.945085
64,60,0.030842,324232.031250,0.957246
64,70,0.045270,220898.937500,0.965877
64,80,0.051083,195759.187500,0.971727
64,90,0.057643,173480.703125,0.976348
64,100,0.064549,154920.390625,0.979768
64,110,0.070532,141780.015625,0.982139
64,120,0.076235,131173.500000,0.984019
64,130,0.121808,82096.539062,0.985579
64,140,0.130214,76796.460938,0.987099
64,150,0.137252,72858.890625,0.988179
64,160,0.142749,70053.265625,0.988569
64,170,0.160955,62129.011719,0.98964
64,180,0.168831,59230.937500,0.99028
64,190,0.174671,57250.554688,0.99075
64,200,0.170824,58539.929688,0.99163
64,210,0.178971,55874.851562,0.99215
64,220,0.187565,53314.886719,0.99248
64,230,0.196671,50846.375000,0.99281
64,240,0.204119,48991.121094,0.99313
64,250,0.211635,47251.160156,0.99339
64,260,0.230171,43446.015625,0.9937
64,270,0.238810,41874.265625,0.99391
64,280,0.248158,40296.925781,0.99414
64,290,0.256356,39008.292969,0.99431
64,300,0.266351,37544.437500,0.99448
64,310,0.274081,36485.601562,0.9947
64,320,0.278087,35959.937500,0.99478
64,330,0.300720,33253.550781,0.9951
64,340,0.312726,31976.878906,0.99532
64,350,0.315774,31668.173828,0.99542
64,360,0.332941,30035.308594,0.99556
64,370,0.342041,29236.224609,0.99567
64,380,0.349526,28610.177734,0.99575
64,390,0.408944,24453.242188,0.99586
64,400,0.416886,23987.380859,0.99601
64,410,0.428721,23325.201172,0.99605
64,420,0.422967,23642.521484,0.99611
64,430,0.433360,23075.525391,0.99622
