degree,beam,search_time,QPS,recall
56,10,0.001642,6088295.000000,0.683953
56,20,0.003630,2754954.500000,0.908934
56,30,0.005651,1769455.625000,0.957266
56,40,0.007456,1341247.750000,0.975288
56,50,0.009429,1060558.750000,0.984018
56,60,0.011400,877195.375000,0.988619
56,70,0.013175,759025.750000,0.99136
56,80,0.015133,660788.312500,0.99339
56,90,0.017123,583998.687500,0.99486
56,100,0.018767,532854.500000,0.99563
56,110,0.020536,486942.156250,0.99622
56,120,0.022315,448136.593750,0.99667
56,130,0.023611,423524.406250,0.99713
56,140,0.025356,394379.468750,0.99736
56,150,0.027137,368502.406250,0.99759
56,160,0.027920,358161.250000,0.99771
56,170,0.030332,329686.906250,0.99795
56,180,0.032070,311821.437500,0.99815
56,190,0.033236,300878.843750,0.99822
56,200,0.034704,288149.625000,0.99836
